followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,views_per_like,views_per_comment,views_per_follower,views_per_hashtag
445,540,61,7,172,1393,30,1.0,50,2.82,24.57,0.39,5.73
166,276,12,0,172,375,30,1.0,55,14.33,,1.04,5.73
166,276,24,0,172,683,29,1.0,55,7.17,,1.04,5.93
166,276,14,2,172,382,14,1.0,55,12.29,86.0,1.04,12.29
166,276,9,0,172,370,24,1.0,55,19.11,,1.04,7.17
166,276,7,0,34,515,26,0.0,55,4.86,,0.2,1.31
166,276,25,1,172,525,30,1.0,55,6.88,172.0,1.04,5.73
166,276,19,1,172,442,28,1.0,55,9.05,172.0,1.04,6.14
166,276,14,0,172,1145,25,1.0,55,12.29,,1.04,6.88
166,276,9,0,172,347,23,1.0,55,19.11,,1.04,7.48
166,276,13,0,172,320,19,1.0,55,13.23,,1.04,9.05
166,276,13,0,172,362,21,1.0,55,13.23,,1.04,8.19
166,276,22,0,172,390,22,1.0,55,7.82,,1.04,7.82
340,53,7,0,172,19,0,1.0,69,24.57,,0.51,
340,53,5,0,172,40,0,1.0,69,34.4,,0.51,
340,53,7,0,172,71,8,1.0,69,24.57,,0.51,21.5
340,53,9,0,172,89,6,1.0,69,19.11,,0.51,28.67
340,53,9,0,172,80,4,1.0,69,19.11,,0.51,43.0
340,53,18,0,172,110,7,1.0,69,9.56,,0.51,24.57
340,53,9,0,172,83,6,1.0,69,19.11,,0.51,28.67
340,53,6,0,172,81,6,1.0,69,28.67,,0.51,28.67
340,53,4,0,172,56,6,1.0,69,43.0,,0.51,28.67
340,53,5,0,172,83,6,1.0,69,34.4,,0.51,28.67
340,53,7,0,172,94,8,1.0,69,24.57,,0.51,21.5
340,53,6,0,172,22,2,1.0,69,28.67,,0.51,86.0
863,21,18,1,172,343,14,0.0,389,9.56,172.0,0.2,12.29
863,21,34,0,172,441,30,1.0,389,5.06,,0.2,5.73
863,21,21,0,172,1220,26,1.0,389,8.19,,0.2,6.62
863,21,28,0,172,661,17,1.0,389,6.14,,0.2,10.12
863,21,35,1,172,487,30,1.0,389,4.91,172.0,0.2,5.73
863,21,38,3,172,610,26,1.0,389,4.53,57.33,0.2,6.62
863,21,22,1,172,684,29,1.0,389,7.82,172.0,0.2,5.93
863,21,36,0,172,414,30,1.0,389,4.78,,0.2,5.73
863,21,25,1,172,646,26,1.0,389,6.88,172.0,0.2,6.62
863,21,22,1,172,978,29,1.0,389,7.82,172.0,0.2,5.93
863,21,41,1,172,445,30,1.0,389,4.2,172.0,0.2,5.73
863,21,35,2,172,809,26,1.0,389,4.91,86.0,0.2,6.62
870,398,8,0,172,361,23,1.0,369,21.5,,0.2,7.48
870,398,13,0,172,353,30,1.0,369,13.23,,0.2,5.73
528,398,32,1,172,467,14,1.0,369,5.38,172.0,0.33,12.29
870,398,24,1,172,457,30,1.0,369,7.17,172.0,0.2,5.73
870,398,21,1,172,491,30,1.0,369,8.19,172.0,0.2,5.73
870,398,15,0,172,415,19,1.0,369,11.47,,0.2,9.05
