followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,views_per_like,views_per_comment,views_per_follower,views_per_hashtag
2525,203,140,2,172,458,21,1.0,46,1.23,86.0,0.07,8.19
629,4,53,0,338,955,7,0.0,21,6.38,,0.54,48.29
374,269,36,1,172,80,7,1.0,31,4.78,172.0,0.46,24.57
1295,1104,81,0,172,325,27,1.0,207,2.12,,0.13,6.37
295,1314,19,0,172,184,11,1.0,17,9.05,,0.58,15.64
127,325,24,4,172,118,2,1.0,89,7.17,43.0,1.35,86.0
199,100,44,2,266,107,10,0.0,45,6.05,133.0,1.34,26.6
371,533,24,0,172,228,15,1.0,84,7.17,,0.46,11.47
3768,24,9,0,172,390,8,1.0,79,19.11,,0.05,21.5
457,119,25,0,172,343,16,1.0,31,6.88,,0.38,10.75
6571,3517,32,1,172,343,0,1.0,31,5.38,172.0,0.03,
898,1110,22,0,172,497,30,1.0,70,7.82,,0.19,5.73
262,6531,5,0,77,1023,2,0.0,22,15.4,,0.29,38.5
467,487,66,5,172,123,9,1.0,16,2.61,34.4,0.37,19.11
6638,777,11,0,80,93,10,0.0,783,7.27,,0.01,8.0
102,455,28,2,49,324,23,0.0,13,1.75,24.5,0.48,2.13
1022,547,32,0,172,438,29,1.0,89,5.38,,0.17,5.93
3144,12,108,2,1438,445,26,0.0,206,13.31,719.0,0.46,55.31
591,363,56,2,172,416,29,1.0,159,3.07,86.0,0.29,5.93
224,608,12,0,172,64,1,1.0,9,14.33,,0.77,172.0
316,84,76,1,172,42,0,1.0,27,2.26,172.0,0.54,
1935,766,466,3,172,465,30,1.0,89,0.37,57.33,0.09,5.73
6638,777,23,4,159,17,1,0.0,783,6.91,39.75,0.02,159.0
613,430,124,8,172,11,1,1.0,73,1.39,21.5,0.28,172.0
1821,196,16,2,66,834,30,0.0,857,4.12,33.0,0.04,2.2
153,255,14,0,172,58,4,1.0,43,12.29,,1.12,43.0
389,883,16,1,172,857,20,1.0,346,10.75,172.0,0.44,8.6
190,342,17,0,172,471,22,1.0,21,10.12,,0.91,7.82
483,304,120,10,172,85,0,1.0,10,1.43,17.2,0.36,
125,120,16,1,172,230,9,1.0,17,10.75,172.0,1.38,19.11
454,32,122,3,172,475,26,1.0,12,1.41,57.33,0.38,6.62
508,165,12,0,172,517,22,1.0,227,14.33,,0.34,7.82
911,907,70,4,172,1351,21,1.0,76,2.46,43.0,0.19,8.19
135,26,73,1,172,339,25,1.0,62,2.36,172.0,1.27,6.88
708,327,6,0,172,829,4,1.0,178,28.67,,0.24,43.0
1346,105,4,0,172,291,3,1.0,80,43.0,,0.13,57.33
209,497,17,0,172,8,0,1.0,33,10.12,,0.82,
399,937,53,4,172,77,6,1.0,75,3.25,43.0,0.43,28.67
528,304,25,1,78,343,14,0.0,10,3.12,78.0,0.15,5.57
724,1015,85,42,172,102,0,1.0,23,2.02,4.1,0.24,
2301,109,130,11,172,853,30,1.0,64,1.32,15.64,0.07,5.73
44684,141,2142,53,23950,162,14,0.0,70,11.18,451.89,0.54,1710.71
849,152,51,3,172,899,25,1.0,24,3.37,57.33,0.2,6.88
190,398,8,0,172,8,0,1.0,52,21.5,,0.91,
1520,701,36,5,172,736,5,1.0,160,4.78,34.4,0.11,34.4
244,250,104,8,172,115,5,1.0,41,1.65,21.5,0.7,34.4
271,100,28,0,172,615,30,1.0,41,6.14,,0.63,5.73
12196,1,320,15,172,404,30,1.0,164,0.54,11.47,0.01,5.73
819,656,8,0,172,175,10,1.0,66,21.5,,0.21,17.2
120,393,14,4,172,84,7,1.0,27,12.29,43.0,1.43,24.57
204,33,114,1,172,216,12,1.0,34,1.51,172.0,0.84,14.33
190,325,4,1,172,0,0,1.0,12,43.0,172.0,0.91,
475,505,38,0,172,70,0,1.0,16,4.53,,0.36,
771,955,83,9,287,307,0,0.0,107,3.46,31.89,0.37,
12463,126,192,34,172,1033,30,1.0,127,0.9,5.06,0.01,5.73
184,215,17,1,172,525,30,1.0,258,10.12,172.0,0.93,5.73
3768,24,17,0,172,384,5,1.0,79,10.12,,0.05,34.4
1011,217,3,0,172,557,6,1.0,337,57.33,,0.17,28.67
430,672,45,0,172,24,1,1.0,12,3.82,,0.4,172.0
552,194,17,0,172,684,8,1.0,85,10.12,,0.31,21.5
115,592,32,2,172,90,6,1.0,23,5.38,86.0,1.5,28.67
974,799,151,0,172,561,30,1.0,35,1.14,,0.18,5.73
218,654,17,0,172,0,0,1.0,51,10.12,,0.79,
801,225,79,3,172,172,10,1.0,22,2.18,57.33,0.21,17.2
536,530,22,0,172,624,16,1.0,137,7.82,,0.32,10.75
193,128,5,1,172,482,30,1.0,228,34.4,172.0,0.89,5.73
946,518,52,1,172,743,14,1.0,25,3.31,172.0,0.18,12.29
393,5034,190,1,1232,376,30,0.0,9,6.48,1232.0,3.13,41.07
726,260,16,0,172,553,3,1.0,415,10.75,,0.24,57.33
507,417,75,3,172,1765,30,1.0,60,2.29,57.33,0.34,5.73
15107,521,17,0,172,732,29,1.0,39,10.12,,0.01,5.93
417,780,16,0,172,53,2,1.0,48,10.75,,0.41,86.0
657,410,100,26,172,518,4,1.0,96,1.72,6.62,0.26,43.0
603,787,30,2,74,34,0,0.0,94,2.47,37.0,0.12,
511,1227,43,1,172,88,6,1.0,192,4.0,172.0,0.34,28.67
2417,116,684,61,172,652,19,1.0,139,0.25,2.82,0.07,9.05
1038,519,90,23,186,268,4,0.0,76,2.07,8.09,0.18,46.5
181,455,10,0,172,156,5,1.0,38,17.2,,0.95,34.4
