followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,category_name,post_hour,post_day_of_week
249,230,4,0,0,535,30,image,613,Unknown,13,1
249,230,3,0,0,1359,30,image,613,Unknown,11,1
unknown,230,9,1,0,647,?,image,613,Unknown,10,1
249,230,4,0,0,598,30,image,613,Unknown,12,4
249,230,8,0,0,1248,30,image,613,Unknown,10,4
249,230,16,2,0,667,30,image,613,Unknown,8,4
46752,70,70,4,965,265,14,video,1465,Other,11,6
46752,70,132,2,0,468,14,image,1465,Other,14,5
46752,70,89,0,0,186,9,image,1465,Other,13,4
46752,70,726,1,0,432,14,image,1465,Other,19,2
46752,70,38,0,629,153,8,video,1465,Other,0,0
46752,70,557,9,0,415,14,image,1465,Other,12,6
46752,70,34,0,538,119,7,video,1465,Other,20,4
46752,70,30,0,611,140,8,video,1465,Other,13,4
46752,70,45,2,0,606,11,image,1465,Other,12,3
46752,70,142,2,1561,290,14,video,1465,Other,13,1
46752,70,763,3,0,477,14,image,1465,Other,16,6
46752,70,144,1,0,232,11,image,1465,Other,13,5
632,27,14,0,0,432,29,image,87,Other,16,0
632,27,14,3,0,509,30,image,87,Other,15,6
632,27,8,0,0,561,30,image,87,Other,16,5
632,27,7,0,0,430,30,image,87,Other,16,4
632,27,14,0,0,547,30,image,87,Other,16,3
632,27,12,0,0,433,30,image,87,Other,16,2
632,27,10,0,0,615,30,image,87,Other,16,1
632,27,9,0,0,468,30,image,87,Other,16,0
632,27,8,0,0,449,30,image,87,Other,16,6
632,27,10,0,0,480,29,image,87,Other,15,5
632,27,11,0,0,595,29,image,87,Other,16,4
632,27,14,1,0,467,28,image,87,Other,16,3
273,665,13,2,0,680,17,image,71,Other,12,2
273,665,13,0,0,454,17,image,71,Other,12,4
273,665,22,0,0,639,12,image,71,Other,13,3
273,665,15,0,68,251,18,video,71,Other,6,6
273,665,16,2,0,1339,30,image,71,Other,12,2
273,665,16,1,0,437,30,image,71,Other,13,0
273,665,22,2,0,1892,31,image,71,Other,12,6
273,665,13,1,0,125,6,image,71,Other,13,4
273,665,22,0,0,1090,26,image,71,Other,5,2
273,665,10,2,32,211,15,video,71,Other,6,0
273,665,78,0,1132,35,0,video,71,Other,4,2
273,665,11,0,0,447,10,image,71,Other,6,0
371,2021,11,0,0,595,25,image,55,Unknown,18,6
371,2021,10,0,0,506,24,image,55,Unknown,18,4
371,2021,26,0,0,261,13,image,55,Unknown,7,5
371,2021,13,1,0,55,2,image,55,Unknown,16,3
371,2021,13,0,0,46,0,image,55,Unknown,10,4
371,2021,20,0,109,37,1,video,55,Unknown,16,4
371,2021,20,2,0,32,1,image,55,Unknown,17,2
371,2021,26,2,0,47,1,image,55,Unknown,20,4
371,2021,22,0,0,60,2,image,55,Unknown,19,4
371,2021,21,0,0,132,3,image,55,Unknown,19,3
371,2021,30,2,0,175,6,image,55,Unknown,16,2
