followers,following,likes,video_view_count,caption_length,hashtag_count,media_type,posts_count,post_hour,post_day_of_week,views_per_follower,views_per_hashtag,like_rate,virality_score,target
208,73,17,108,756,30,1.0,18,3,1,0.52,3.6,0.08173076923076923,0.299658530533906,0
208,73,22,140,753,30,1.0,18,7,0,0.67,4.67,0.10576923076923077,0.3685247874062885,0
208,73,22,140,794,30,1.0,18,4,0,0.67,4.67,0.10576923076923077,0.3685247874062885,0
208,73,20,128,972,30,1.0,18,2,6,0.62,4.27,0.09615384615384616,0.34570963924738324,0
208,73,17,108,879,30,1.0,18,4,5,0.52,3.6,0.08173076923076923,0.299658530533906,0
208,73,13,83,644,30,1.0,18,3,5,0.4,2.77,0.0625,0.23992557143954063,0
208,73,20,128,680,30,1.0,18,17,4,0.62,4.27,0.09615384615384616,0.34570963924738324,0
275,79,33,211,486,8,1.0,242,7,4,0.77,26.38,0.12,0.4108017451381807,0
275,79,30,191,678,20,1.0,242,9,3,0.69,9.55,0.10909090909090909,0.3773127814370325,0
275,79,16,102,992,19,1.0,242,6,1,0.37,5.37,0.05818181818181818,0.22442024022274426,0
275,79,24,63,547,8,0.0,242,7,6,0.23,7.88,0.08727272727272728,0.16384457660325227,0
275,79,33,211,496,20,1.0,242,17,4,0.77,10.55,0.12,0.4108017451381807,0
275,79,45,169,1459,8,0.0,242,7,4,0.61,21.12,0.16363636363636364,0.3625946806921619,0
275,79,20,128,950,15,1.0,242,12,2,0.47,8.53,0.07272727272727272,0.2749920510495562,0
275,79,28,179,676,11,1.0,242,7,5,0.65,16.27,0.10181818181818182,0.3594405348880973,0
275,79,44,281,913,25,1.0,242,15,1,1.02,11.24,0.16,0.5089603842099194,0
275,79,10,64,521,20,1.0,242,11,0,0.23,3.2,0.03636363636363636,0.1470605390105397,0
275,79,10,64,460,19,0.0,242,11,0,0.23,3.37,0.03636363636363636,0.1470605390105397,0
275,79,37,236,477,6,1.0,242,8,4,0.86,39.33,0.13454545454545455,0.4475559485713403,0
528,630,97,619,701,30,1.0,15,2,6,1.17,20.63,0.18371212121212122,0.5626020370195883,0
528,630,68,434,369,30,1.0,15,11,5,0.82,14.47,0.12878787878787878,0.43164425988333854,0
528,630,72,459,376,30,1.0,15,6,4,0.87,15.3,0.13636363636363635,0.4516016600916816,0
528,630,78,498,371,30,1.0,15,6,2,0.94,16.6,0.14772727272727273,0.4789714783259725,0
528,630,95,606,477,30,1.0,15,2,1,1.15,20.2,0.17992424242424243,0.5554616796691385,0
528,630,66,421,477,30,1.0,15,6,0,0.8,14.03,0.125,0.4232853946661116,0
528,630,78,498,352,30,1.0,15,5,4,0.94,16.6,0.14772727272727273,0.4789714783259725,0
528,630,106,676,105,6,1.0,15,11,4,1.28,112.67,0.20075757575757575,0.5997474726839647,0
528,630,109,695,541,31,1.0,15,4,2,1.32,22.42,0.20643939393939395,0.6127043508439077,0
528,630,92,587,614,30,1.0,15,9,1,1.11,19.57,0.17424242424242425,0.5415652838836904,0
528,630,99,632,493,30,1.0,15,9,0,1.2,21.07,0.1875,0.5726448741611063,0
528,630,95,606,560,30,1.0,15,11,6,1.15,20.2,0.17992424242424243,0.5554616796691385,0
3417,6938,1186,7567,343,29,1.0,154,13,5,2.21,260.93,0.34708808896693005,0.8623569612379333,1
3417,6938,204,1302,433,29,1.0,154,8,5,0.38,44.9,0.05970149253731343,0.22964981463754594,0
3417,6938,1789,11414,432,29,1.0,154,11,4,3.34,393.59,0.5235586772022242,1.1014854179767304,1
3417,6938,389,2482,431,14,1.0,154,11,4,0.73,177.29,0.1138425519461516,0.394014444040578,0
3417,6938,1152,7350,420,29,1.0,154,18,5,2.15,253.45,0.33713784021071114,0.8474975806511951,1
3417,6938,100,638,465,30,1.0,154,10,4,0.19,21.27,0.029265437518290898,0.12316553275577642,0
3417,6938,1449,9245,430,28,1.0,154,10,4,2.71,330.18,0.4240561896400351,0.9758989647324352,1
3417,6938,154,948,489,29,0.0,154,16,6,0.28,32.69,0.04506877377816798,0.1758879940731966,0
3417,6938,790,5040,440,29,1.0,154,15,0,1.47,173.79,0.2311969563944981,0.660537188932256,1
3417,6938,2212,14113,457,29,1.0,154,21,4,4.13,486.66,0.6473514779045947,1.237527770140798,1
3417,6938,607,7044,425,29,0.0,154,12,2,2.06,242.9,0.17764120573602576,0.7841994062592873,1
3417,6938,829,5289,451,29,1.0,154,10,4,1.55,182.38,0.24261047702663155,0.6844857200124859,1
32641,196,152,961,243,12,0.0,1248,17,1,0.03,80.08,0.004656720075978065,0.02083929034141271,0
32641,196,697,4447,1974,18,1.0,1248,9,1,0.14,247.06,0.02135351245366257,0.09256342278795238,0
32641,196,610,3892,763,29,1.0,1248,18,0,0.12,134.21,0.018688152936490916,0.08014413168418236,0
32641,196,587,4796,464,27,0.0,1248,14,6,0.15,177.63,0.01798351766183634,0.09708356702721795,0
32641,196,295,3468,667,24,0.0,1248,9,6,0.11,144.5,0.009037713305352165,0.07098300111589506,0
32641,196,817,5213,1035,25,1.0,1248,6,4,0.16,208.52,0.025029870408382095,0.1051256172365348,0
32641,196,308,1965,409,15,1.0,1248,19,3,0.06,131.0,0.009435985417113447,0.041161900888071756,0
32641,196,220,1404,1015,21,1.0,1248,19,2,0.04,66.86,0.0067399895836524615,0.02784454563995233,0
32641,196,272,1735,327,26,1.0,1248,9,6,0.05,66.73,0.00833307803069759,0.034618099077819056,0
32641,196,689,4396,264,15,1.0,1248,17,5,0.13,293.07,0.021108421923347935,0.0867525151741149,0
32641,196,31,198,1698,14,1.0,1248,13,6,0.01,14.14,0.0009497258049692105,0.006799961339824532,0
32641,196,294,1876,834,30,1.0,1248,8,6,0.06,62.53,0.009007076989062834,0.041013154604489954,0
249,230,10,64,568,30,1.0,613,11,1,0.26,2.13,0.040160642570281124,0.16400392645839185,0
249,230,11,70,687,21,1.0,613,10,1,0.28,3.33,0.04417670682730924,0.17558910774827882,0
249,230,4,26,1131,19,1.0,613,9,1,0.1,1.37,0.01606425702811245,0.06752942416479558,0
249,230,5,32,560,30,1.0,613,11,0,0.13,1.07,0.020080321285140562,0.08639994096460213,0
249,230,3,19,1389,30,1.0,613,9,0,0.08,0.63,0.012048192771084338,0.054216343604833905,0
249,230,3,17,769,14,0.0,613,8,0,0.07,1.21,0.012048192771084338,0.04816978837433012,0
